公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1519,華城電機,3244701,2607869,636832,--,--,636832,468211,--,168621,-21283,147338,29447,117891,--,--,117891,-2968,--,114923,116619,--,1272,113579,--,1344,0.45
1521,大億,3648932,2981103,667829,8140,1598,661287,356831,-149,304307,43187,347494,61279,286215,--,--,286215,1062,--,287277,286215,--,--,287277,--,--,3.75
1522,堤維西,13770024,11179310,2590714,0,100917,2691631,2150633,--,540998,161672,702670,180114,522556,--,--,522556,5931,--,528487,323604,--,198952,323436,--,205051,1.04
1524,耿鼎企業,1792825,1545890,246935,--,--,246935,226949,--,19986,-17428,2558,1014,1544,--,--,1544,--,--,1544,1544,--,--,1544,--,--,0.01
1525,江申工業,839574,752802,86772,--,--,86772,79223,--,7549,253003,260552,27529,233023,--,--,233023,9506,--,242529,233023,--,--,242529,--,--,3.37
1526,日馳,551953,426673,125280,--,--,125280,80188,--,45092,-2416,42676,4414,38262,0,--,38262,266,--,38528,38262,--,--,38528,--,--,0.76
1527,鑽全,2403179,1721770,681409,--,--,681409,215393,--,466016,214406,680422,120109,560313,--,--,560313,120943,--,681256,--,--,--,--,--,--,3.66
1528,恩德,2496362,1886737,609625,--,--,609625,594922,--,14703,0,14703,12617,2086,--,--,2086,8045,--,10131,3888,--,-1802,11933,--,-1802,0.03
1529,樂士,85016,94921,-9905,--,--,-9905,37097,--,-47002,14985,-32017,10287,-42304,--,--,-42304,--,--,-42304,-42304,--,0,-42304,--,0,-0.17
1530,亞崴機電,2814004,2198336,615668,--,3318,618986,388649,--,230337,88,230425,46675,183750,--,--,183750,2552,--,186302,177475,--,6275,180027,--,6275,1.93
1531,高林股,2133691,1770710,362981,--,--,362981,268435,--,94546,51741,146287,2678,143609,--,--,143609,60096,--,203705,143609,--,0,203705,--,0,0.74
1532,勤美,11181055,8780430,2400625,--,--,2400625,1353279,5116,1052462,-109266,943196,455008,488188,--,--,488188,54844,--,543032,155567,--,332621,198150,--,344882,0.4
1533,車王電,2004896,1278000,726896,--,--,726896,487001,--,239895,-10925,228970,59527,169443,--,--,169443,42566,--,212009,169446,--,-3,212012,--,-3,1.79
1535,中宇,7300968,6621020,679948,--,--,679948,329581,--,350367,230007,580374,116251,464123,--,--,464123,42805,--,506928,464123,--,0,506928,--,0,3.75
1536,和大工業,3099246,2154785,944461,--,--,944461,398414,--,546047,54179,600226,109571,490655,--,--,490655,12521,--,503176,488901,--,1754,501411,--,1765,2.11
1537,廣隆光電,4996926,4063053,933873,--,--,933873,311916,--,621957,30177,652134,171539,480595,--,--,480595,52135,--,532730,469311,--,11284,514708,--,18022,5.75
1538,正峰新,661699,567829,93870,--,--,93870,159072,--,-65202,50750,-14452,0,-14452,--,--,-14452,-5012,--,-19464,-14452,--,--,-19464,--,--,-0.17
1539,巨庭機械,1963263,1752109,211154,--,--,211154,89027,--,122127,9971,132098,30606,101492,--,--,101492,-139,--,101353,101492,--,--,101353,--,--,1.55
1540,喬福機械,792251,580748,211503,--,--,211503,100850,--,110653,23365,134018,18523,115495,--,--,115495,--,--,115495,115490,--,5,115490,--,5,1.46
1541,錩泰,2035651,1737765,297886,--,--,297886,197315,--,100571,15521,116092,18613,97479,--,--,97479,638,--,98117,97479,--,--,98117,--,--,1.25
